"course"	"student_id"	"absent_count"	"absence_rank"
"Flink"	"202234071303"	"1"	"1"
"Flink"	"202234071405"	"1"	"1"
"Flink"	"202234071417"	"1"	"1"
"Flink"	"202234071504"	"1"	"1"
"Flink"	"202234071509"	"1"	"1"
"Flink"	"202234071510"	"1"	"1"
"Flink"	"202234071603"	"1"	"1"
"Flink"	"202234071605"	"1"	"1"
"Flink"	"202234071616"	"1"	"1"
"Hadoop"	"202234071403"	"1"	"1"
"Hadoop"	"202234071508"	"1"	"1"
"Hadoop"	"202234071611"	"1"	"1"
"Hadoop"	"202234071614"	"1"	"1"
"HBase"	"202234071311"	"1"	"1"
"HBase"	"202234071402"	"1"	"1"
"HBase"	"202234071408"	"1"	"1"
"HBase"	"202234071502"	"1"	"1"
"HBase"	"202234071608"	"1"	"1"
"HBase"	"202234071610"	"1"	"1"
"HBase"	"202234071617"	"1"	"1"
"Hive"	"202234071301"	"1"	"2"
"Hive"	"202234071305"	"1"	"2"
"Hive"	"202234071318"	"2"	"1"
"Hive"	"202234071409"	"1"	"2"
"Hive"	"202234071413"	"1"	"2"
"Hive"	"202234071417"	"1"	"2"
"Hive"	"202234071418"	"1"	"2"
"Hive"	"202234071504"	"1"	"2"
"Hive"	"202234071508"	"1"	"2"
"Hive"	"202234071601"	"1"	"2"
"Hive"	"202234071609"	"1"	"2"
"Hive"	"202234071616"	"1"	"2"
"Hive"	"202234071620"	"1"	"2"
"Kafka"	"202234071307"	"1"	"1"
"Kafka"	"202234071311"	"1"	"1"
"Kafka"	"202234071318"	"1"	"1"
"Kafka"	"202234071505"	"1"	"1"
"Kafka"	"202234071513"	"1"	"1"
"Kafka"	"202234071517"	"1"	"1"
"Kafka"	"202234071606"	"1"	"1"
"Kafka"	"202234071607"	"1"	"1"
"Spark"	"202234071315"	"1"	"1"
"Spark"	"202234071506"	"1"	"1"
"Spark"	"202234071509"	"1"	"1"
"Spark"	"202234071514"	"1"	"1"
"Spark"	"202234071515"	"1"	"1"
"Spark"	"202234071601"	"1"	"1"
"Spark"	"202234071616"	"1"	"1"
"Spark"	"202234071620"	"1"	"1"
